iter	Logloss
0	0.6784812342
1	0.6632110412
2	0.6464310335
3	0.6316366841
4	0.6183746675
5	0.6058634922
6	0.5948563383
7	0.5845650901
8	0.5761538588
9	0.5671915995
10	0.5588894345
11	0.5512526687
12	0.5434873342
13	0.5366738755
14	0.5301757802
15	0.5223228342
16	0.5148275233
17	0.5080219605
18	0.5030509025
19	0.4971398699
20	0.4917751161
21	0.4872709712
22	0.4830883128
23	0.4788129956
24	0.4749137371
25	0.4712522305
26	0.4681437179
27	0.4645600713
28	0.4616380534
29	0.459018184
30	0.4565312307
31	0.4541276883
32	0.451477553
33	0.4481806932
34	0.4456795313
35	0.4433636295
36	0.4412084326
37	0.4392205192
38	0.436881301
39	0.4351230746
40	0.4333357669
41	0.4321248023
42	0.4302035872
43	0.4285689404
44	0.4271266179
45	0.4252096315
46	0.4239898647
47	0.4218723064
48	0.420145385
49	0.4188517659
50	0.4176891156
51	0.4161873912
52	0.4152656149
53	0.413836158
54	0.4127300484
55	0.4116133285
56	0.4101272931
57	0.4092346104
58	0.4081495534
59	0.406904883
60	0.4060464533
61	0.4050207043
62	0.4043112794
63	0.4035972793
64	0.4028903601
65	0.4018615972
66	0.4011494526
67	0.4004375864
68	0.3998657585
69	0.399188724
70	0.3986473087
71	0.3977281586
72	0.3969631172
73	0.3961346466
74	0.3955955586
75	0.394796436
76	0.3943337303
77	0.3937870013
78	0.3929923357
79	0.3925203778
80	0.3918595447
81	0.3911605962
82	0.3903448475
83	0.3896870283
84	0.389003307
85	0.3883017737
86	0.3876940107
87	0.3872142815
88	0.3867952478
89	0.3862650195
90	0.3858501992
91	0.3853988856
92	0.3849624717
93	0.3843494246
94	0.3839448036
95	0.3835448842
96	0.3831361095
97	0.3828235055
98	0.382427216
99	0.3818777224
100	0.3815209364
101	0.3811974379
102	0.3808422179
103	0.3804707929
104	0.380317284
105	0.3798845033
106	0.379587733
107	0.3790891072
108	0.3787003853
109	0.3784648445
110	0.3781010722
111	0.3778466983
112	0.3774411196
113	0.377143112
114	0.3767204423
115	0.3764983269
116	0.3761592561
117	0.3758294026
118	0.3754731532
119	0.3751720804
120	0.3748410919
121	0.3745385483
122	0.3743417999
123	0.3740875289
124	0.3738376043
125	0.3735538506
126	0.3731542647
