iter	Passed	Remaining
415	2882	4046
416	2888	4037
417	2894	4029
418	2900	4021
419	2906	4014
420	2912	4005
421	2920	4000
422	2926	3991
423	2931	3983
424	2938	3975
425	2943	3966
426	2949	3958
427	2955	3950
428	2961	3942
429	2999	3976
430	3006	3968
431	3012	3961
432	3019	3953
433	3025	3945
434	3030	3936
435	3037	3928
436	3043	3920
437	3048	3911
438	3055	3904
439	3061	3896
440	3068	3889
441	3074	3881
442	3081	3875
443	3088	3867
444	3096	3862
445	3103	3855
446	3110	3847
447	3117	3841
448	3123	3833
449	3130	3826
450	3137	3819
451	3143	3811
452	3152	3806
453	3159	3799
454	3166	3792
455	3172	3784
456	3179	3777
457	3186	3770
458	3193	3763
459	3200	3756
460	3205	3748
461	3213	3742
462	3219	3734
463	3225	3726
464	3232	3719
465	3238	3710
466	3246	3704
467	3253	3698
468	3259	3690
469	3266	3683
470	3273	3676
471	3280	3669
472	3286	3661
473	3294	3655
474	3300	3647
475	3306	3640
476	3314	3634
477	3320	3626
478	3328	3620
479	3335	3612
480	3341	3605
481	3348	3598
482	3354	3590
483	3361	3583
484	3367	3575
485	3374	3568
486	3381	3561
487	3387	3554
488	3394	3547
489	3400	3539
490	3408	3533
491	3415	3526
492	3421	3518
493	3427	3511
494	3434	3503
495	3441	3496
496	3447	3489
497	3454	3482
498	3460	3474
499	3466	3466
500	3473	3460
501	3480	3452
502	3488	3446
503	3494	3438
504	3501	3431
505	3507	3424
506	3513	3416
507	3520	3409
508	3526	3401
509	3532	3393
510	3538	3386
511	3544	3378
512	3551	3371
513	3557	3363
514	3565	3357
515	3571	3350
516	3578	3342
517	3585	3336
518	3591	3328
519	3596	3320
520	3622	3330
521	3628	3322
522	3634	3314
523	3640	3306
524	3645	3298
525	3651	3290
526	3657	3282
527	3663	3274
528	3669	3267
529	3675	3259
530	3681	3251
531	3686	3243
532	3692	3235
533	3698	3227
534	3704	3219
535	3710	3211
536	3716	3204
537	3721	3196
538	3728	3188
539	3734	3180
540	3739	3173
541	3746	3165
542	3752	3158
543	3758	3150
544	3764	3142
545	3769	3134
546	3776	3127
547	3782	3119
548	3788	3111
549	3795	3105
550	3820	3112
551	3828	3106
552	3834	3099
553	3840	3091
554	3848	3085
555	3856	3079
556	3864	3073
557	3870	3065
558	3878	3059
559	3884	3051
560	3892	3046
561	3898	3038
562	3904	3031
563	3911	3024
564	3917	3016
565	3926	3010
566	3932	3003
567	3940	2996
568	3946	2989
569	3952	2981
570	3959	2974
571	3965	2966
572	3971	2959
573	3977	2952
574	3983	2944
575	3991	2938
576	3998	2931
577	4005	2924
578	4011	2916
579	4018	2909
580	4024	2902
581	4031	2895
582	4066	2908
583	4082	2908
584	4089	2901
585	4096	2893
586	4129	2905
587	4136	2898
588	4142	2890
589	4149	2883
590	4155	2875
591	4161	2868
592	4168	2861
593	4174	2853
594	4181	2846
595	4188	2838
596	4195	2831
597	4202	2824
598	4208	2817
599	4220	2813
600	4227	2806
601	4235	2800
602	4242	2793
603	4250	2786
604	4258	2780
605	4270	2776
606	4277	2769
607	4284	2762
608	4290	2754
609	4298	2748
610	4306	2742
611	4331	2746
612	4337	2738
613	4346	2732
614	4363	2731
615	4369	2723
616	4376	2716
617	4384	2710
618	4390	2702
619	4397	2695
620	4403	2687
621	4410	2680
622	4416	2672
623	4422	2664
624	4430	2658
625	4453	2660
626	4461	2653
627	4467	2646
628	4515	2663
629	4522	2656
630	4529	2648
631	4535	2640
632	4541	2633
633	4547	2625
634	4553	2617
635	4559	2609
636	4565	2601
637	4571	2593
638	4595	2596
639	4601	2588
640	4607	2580
641	4615	2573
642	4622	2566
643	4627	2558
644	4633	2550
645	4640	2542
646	4646	2534
647	4651	2526
648	4658	2519
649	4663	2511
650	4688	2513
651	4694	2505
652	4700	2498
653	4717	2495
654	4732	2492
655	4739	2485
656	4744	2477
657	4750	2469
658	4756	2461
659	4762	2453
660	4778	2450
661	4784	2442
662	4790	2434
663	4796	2427
664	4804	2420
665	4810	2412
666	4817	2405
667	4825	2398
668	4831	2390
669	4838	2383
670	4844	2375
671	4851	2368
672	4857	2360
673	4864	2352
674	4870	2345
675	4876	2337
676	4884	2330
677	4890	2322
678	4896	2314
679	4902	2307
680	4908	2299
681	4917	2292
682	4924	2285
683	4932	2278
684	4938	2271
685	4945	2263
686	4953	2256
687	4959	2248
688	4980	2248
689	4987	2240
690	4993	2232
691	5009	2229
692	5017	2222
693	5023	2215
694	5030	2207
695	5037	2200
696	5044	2192
697	5050	2185
698	5056	2177
699	5064	2170
700	5070	2162
701	5078	2155
702	5084	2147
703	5090	2140
704	5097	2132
705	5103	2125
706	5110	2117
707	5117	2110
708	5125	2103
709	5131	2096
710	5137	2088
711	5146	2081
712	5152	2074
713	5160	2067
714	5166	2059
715	5173	2052
716	5179	2044
717	5185	2036
718	5193	2029
719	5199	2022
720	5207	2014
721	5213	2007
722	5219	1999
723	5226	1992
724	5232	1984
725	5239	1977
726	5245	1969
727	5253	1962
728	5259	1955
729	5265	1947
730	5288	1946
731	5294	1938
732	5301	1931
733	5309	1924
734	5315	1916
735	5322	1909
736	5328	1901
737	5336	1894
738	5348	1889
739	5356	1881
740	5361	1874
741	5368	1866
742	5375	1859
743	5380	1851
744	5387	1843
745	5393	1836
746	5399	1828
747	5405	1821
748	5411	1813
749	5418	1806
750	5424	1798
751	5430	1790
752	5436	1783
753	5442	1775
754	5456	1770
755	5462	1763
756	5469	1755
757	5474	1747
758	5481	1740
759	5487	1732
760	5493	1725
761	5499	1717
762	5505	1710
763	5511	1702
764	5518	1695
765	5524	1687
766	5531	1680
767	5537	1672
768	5544	1665
769	5550	1657
770	5556	1650
771	5563	1643
772	5569	1635
773	5576	1628
774	5597	1624
775	5603	1617
776	5610	1610
777	5616	1602
778	5622	1594
779	5629	1587
780	5635	1580
781	5656	1576
782	5662	1569
783	5669	1561
784	5676	1554
785	5682	1547
786	5689	1539
787	5695	1532
788	5702	1524
789	5709	1517
790	5715	1510
791	5721	1502
792	5728	1495
793	5734	1487
794	5741	1480
795	5747	1472
796	5753	1465
797	5760	1458
798	5766	1450
799	5772	1443
800	5778	1435
801	5783	1427
802	5790	1420
803	5796	1412
804	5802	1405
805	5809	1398
806	5815	1390
807	5822	1383
808	5829	1376
809	5835	1368
810	5857	1365
811	5863	1357
812	5870	1350
813	5876	1342
814	5882	1335
815	5890	1328
816	5895	1320
817	5902	1313
818	5908	1305
819	5914	1298
820	5922	1291
821	5928	1283
822	5934	1276
823	5940	1268
824	5946	1261
825	5953	1254
826	5959	1246
827	5965	1239
828	5971	1231
829	5977	1224
830	5983	1216
831	5989	1209
832	5995	1202
833	6003	1194
834	6009	1187
835	6016	1180
836	6023	1172
837	6029	1165
838	6038	1158
839	6044	1151
840	6052	1144
841	6058	1136
842	6066	1129
843	6086	1125
844	6093	1117
845	6134	1116
846	6140	1109
847	6148	1102
848	6155	1094
849	6164	1087
850	6170	1080
851	6178	1073
852	6185	1065
853	6191	1058
854	6198	1051
855	6204	1043
856	6212	1036
857	6219	1029
858	6225	1021
859	6232	1014
860	6238	1007
861	6246	1000
862	6253	992
863	6260	985
864	6267	978
865	6274	970
866	6281	963
867	6287	956
868	6294	948
869	6300	941
870	6308	934
871	6314	926
872	6320	919
873	6327	912
874	6333	904
875	6341	897
876	6347	890
877	6354	882
878	6360	875
879	6366	868
880	6373	860
881	6379	853
882	6384	845
883	6391	838
884	6397	831
885	6403	823
886	6409	816
887	6415	809
888	6422	801
889	6428	794
890	6434	787
891	6441	779
892	6447	772
893	6454	765
894	6460	757
895	6467	750
896	6473	743
897	6479	736
898	6486	728
899	6493	721
900	6500	714
901	6506	706
902	6512	699
903	6519	692
904	6526	685
905	6532	677
906	6538	670
907	6544	663
908	6551	655
909	6557	648
910	6563	641
911	6569	633
912	6575	626
913	6583	619
914	6590	612
915	6597	605
916	6604	597
917	6610	590
918	6616	583
919	6622	575
920	6628	568
921	6634	561
922	6640	553
923	6647	546
924	6652	539
925	6658	532
926	6666	524
927	6672	517
928	6680	510
929	6686	503
930	6693	496
931	6700	488
932	6707	481
933	6714	474
934	6720	467
935	6727	459
936	6733	452
937	6739	445
938	6746	438
939	6752	430
940	6758	423
941	6765	416
942	6773	409
943	6780	402
944	6787	395
945	6795	387
946	6802	380
947	6809	373
948	6815	366
949	6823	359
950	6829	351
951	6835	344
952	6843	337
953	6849	330
954	6857	323
955	6863	315
956	6869	308
957	6875	301
958	6881	294
959	6888	287
960	6894	279
961	6900	272
962	6906	265
963	6912	258
964	6938	251
965	6944	244
966	6951	237
967	6957	230
968	6964	222
969	6971	215
970	6977	208
971	6984	201
972	6989	193
973	6995	186
974	7002	179
975	7008	172
976	7014	165
977	7020	157
978	7026	150
979	7033	143
980	7038	136
981	7044	129
982	7050	121
983	7055	114
984	7062	107
985	7067	100
986	7074	93
987	7081	86
988	7087	78
989	7093	71
990	7098	64
991	7103	57
992	7108	50
993	7114	42
994	7119	35
995	7125	28
996	7130	21
997	7135	14
998	7141	7
999	7147	0
