iter	Logloss
0	0.6787161778
1	0.6642879722
2	0.6497517389
3	0.6355394207
4	0.6213238582
5	0.6087413699
6	0.5973313535
7	0.5871162183
8	0.5780589212
9	0.5689559419
10	0.5602708813
11	0.5522776192
12	0.5446898481
13	0.5379611539
14	0.5315638445
15	0.5237168116
16	0.516299741
17	0.5094627604
18	0.5027424443
19	0.496957677
20	0.4917224452
21	0.4864292467
22	0.481745624
23	0.4776320627
24	0.4738789722
25	0.470374092
26	0.4660253189
27	0.462376347
28	0.4604192744
29	0.4576092464
30	0.4548186483
31	0.4526451392
32	0.4504826984
33	0.4479672127
34	0.4460211418
35	0.4431978991
36	0.4410619966
37	0.4393819702
38	0.4373962564
39	0.4357490844
40	0.4336133052
41	0.4318880366
42	0.4302830737
43	0.4289562918
44	0.4273658146
45	0.4256445747
46	0.4243522058
47	0.423058655
48	0.4216712604
49	0.4204568295
50	0.4190865889
51	0.4175460279
52	0.4165838535
53	0.4150622806
54	0.4141151561
55	0.4128942942
56	0.4120150613
57	0.4110337532
58	0.4102680414
59	0.4092942643
60	0.4084662479
61	0.4076613259
62	0.4065772055
63	0.4055667803
64	0.4047312016
65	0.4041170782
66	0.4034839558
67	0.4026505111
68	0.4021121476
69	0.4013506744
70	0.4008120626
71	0.4002017543
72	0.399073956
73	0.3984176096
74	0.3978907974
75	0.3971112707
76	0.3966014808
77	0.396017663
78	0.3955867263
79	0.3950197372
80	0.3946228582
81	0.3941104989
82	0.3935552891
83	0.3930469824
84	0.3924721742
85	0.391487689
86	0.3908834513
87	0.3904486269
88	0.3900584555
89	0.3895272927
90	0.3892017355
91	0.3885071318
92	0.3881541702
93	0.3877872728
94	0.38742132
95	0.3871070612
96	0.3866417749
97	0.3862244667
98	0.3858040419
99	0.3853699134
100	0.3850564638
101	0.3846305657
102	0.3843450279
103	0.3837963175
104	0.3834997482
105	0.3830319663
106	0.3826876168
107	0.3822147897
108	0.381724542
109	0.381411185
110	0.380998915
111	0.3805643112
112	0.3801744176
113	0.3797389289
114	0.3794366407
115	0.3791325982
116	0.378899014
117	0.3786784619
118	0.3783979149
119	0.3780482224
120	0.3777525045
121	0.3774276761
122	0.3771725143
123	0.37674323
124	0.3765126054
125	0.3762973565
126	0.3760190322
127	0.3756755062
128	0.375435158
129	0.37514136
130	0.3748076529
131	0.374589652
132	0.3743858759
133	0.3741798984
134	0.3738118958
135	0.3735393268
136	0.3732249741
137	0.3730997129
138	0.3726022617
139	0.3724110564
140	0.3722009093
141	0.3719201658
142	0.3717318217
143	0.3714907129
144	0.371125253
145	0.3708864915
146	0.3706223641
147	0.3703318232
148	0.3700425949
149	0.3698463687
150	0.3694949189
151	0.3693356492
152	0.3691341213
153	0.368948055
154	0.3687676297
155	0.3685666851
156	0.3682532235
157	0.3680188517
158	0.3676048264
159	0.3672707355
160	0.3670835697
161	0.366801266
162	0.3665707363
163	0.3664045756
164	0.3662276778
165	0.3659713182
166	0.3657518864
167	0.365423344
168	0.3651901848
169	0.3649881622
170	0.3648414073
171	0.3646574103
172	0.3644519438
173	0.3642826094
174	0.363972737
175	0.3636759443
176	0.3634522673
177	0.3632779965
178	0.3631180314
179	0.3629194423
180	0.3626785307
181	0.3625266789
182	0.3623359033
183	0.362219852
184	0.3620987727
185	0.3619662753
186	0.3618079585
187	0.3616036531
188	0.3613570015
189	0.3611179666
190	0.3609566118
191	0.36069513
192	0.3605186467
193	0.3603071192
194	0.3600707449
195	0.3599495665
196	0.3598176797
197	0.3596502298
198	0.3594364989
199	0.3593099319
200	0.3590888352
201	0.3589565092
202	0.3587872614
203	0.3586136951
204	0.3584143845
205	0.3581561122
206	0.3579874446
207	0.3578327405
208	0.3577056543
209	0.357516417
210	0.3573815007
211	0.357236282
212	0.3571193515
213	0.3570351424
214	0.3568400329
215	0.3566461143
216	0.3564496023
217	0.3563097472
218	0.3560780147
219	0.355919727
220	0.3557297755
221	0.3556186306
222	0.3554450644
223	0.3553235883
224	0.3551774293
225	0.3549464969
226	0.3547743854
227	0.3545767531
228	0.3543668241
229	0.3542272574
230	0.3540326893
231	0.3538041468
232	0.3535867858
233	0.3534802517
234	0.3532924606
235	0.3531144068
236	0.3530063906
237	0.3528921199
238	0.3527121844
239	0.3525268171
240	0.3523713932
241	0.3522352813
242	0.3520558954
243	0.3518515963
244	0.351693309
245	0.3515851437
246	0.3513375505
247	0.3511639332
248	0.3510263378
249	0.3508496287
250	0.3507594817
251	0.3505987786
252	0.3504855814
253	0.3503402274
254	0.3501318849
255	0.349927616
256	0.3497708303
257	0.3496244782
258	0.3494547366
259	0.3491812955
260	0.3491056534
261	0.3489280006
262	0.3488369582
263	0.3487572297
264	0.3486693653
265	0.3485600586
266	0.348315106
267	0.3481598185
268	0.3479880275
269	0.3477648732
270	0.3476146041
271	0.3474992958
272	0.3473055793
273	0.3471952378
274	0.3470416824
275	0.3469162493
276	0.3466995944
277	0.3465516874
278	0.3464040221
279	0.3461879367
280	0.3459689889
281	0.345797995
282	0.3456733362
283	0.3454243756
284	0.345283416
285	0.3451095127
286	0.3449237326
287	0.3447518401
288	0.3445846407
289	0.3444103204
290	0.3443077133
291	0.3442050435
292	0.3440567933
293	0.34394507
294	0.3438566079
295	0.3437713605
296	0.3437213218
297	0.3436093058
298	0.3434564004
299	0.3433080364
300	0.3431139892
301	0.3429567786
302	0.3428606967
303	0.3426841414
304	0.3424630693
305	0.3423591162
306	0.3420913137
307	0.3419717962
308	0.3418306447
309	0.3416431403
310	0.3414890905
311	0.3413324181
312	0.341198692
313	0.3410585246
314	0.3409530041
315	0.3407345485
316	0.3405458711
317	0.3403601739
318	0.3402683579
319	0.3399681985
320	0.3398667121
321	0.3397725958
322	0.3394843103
323	0.3394042103
324	0.339306589
325	0.3392509688
326	0.3391365495
327	0.3390524467
328	0.3389136856
329	0.3387079878
330	0.3386512086
331	0.3384914063
332	0.3382689934
333	0.3380904249
334	0.3379090493
335	0.3378203724
336	0.3376508289
337	0.3374432277
338	0.337264105
